         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      937    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      175    0.000    0.000    0.001    0.000 enum.py:977(__and__)
     2396    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      467    0.000    0.000    0.004    0.000 enum.py:358(__call__)
      336    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
      527    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     1344    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      175    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
    147/1    0.000    0.000    1.255    1.255 {built-in method builtins.exec}
      913    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      145    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       10    0.000    0.000    0.001    0.000 enum.py:545(<listcomp>)
      174    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      175    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
  198/162    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1681    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      435    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
       54    0.000    0.000    0.118    0.002 client.py:609(_safe_read)
        1    0.000    0.000    0.002    0.002 six.py:21(<module>)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      414    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      457    0.000    0.000    0.001    0.000 enum.py:670(__new__)
      703    0.000    0.000    0.000    0.000 element.py:1456(get)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      175    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      276    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      144    0.000    0.000    0.587    0.004 ssl.py:1090(read)
     1347    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      379    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      312    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
      169    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      695    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
  484/483    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      680    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      238    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       32    0.000    0.000    0.135    0.004 response.py:728(read_chunked)
     1302    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      300    0.000    0.000    0.000    0.000 types.py:171(__get__)
     1709    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      416    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      586    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:386(Semaphore)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       12    0.000    0.000    0.294    0.024 __init__.py:1(<module>)
      191    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     1547    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      316    0.000    0.000    0.118    0.000 re.py:250(compile)
     1026    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
     1026    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      175    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
