         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      669    0.000    0.000    0.001    0.000 typing.py:128(_type_convert)
      662    0.001    0.000    0.003    0.000 typing.py:137(_type_check)
      659    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      600    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      595    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      583    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      565    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
      563    0.000    0.000    0.000    0.000 typing.py:745(__eq__)
      561    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      561    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
  531/399    0.000    0.000    0.001    0.000 typing.py:751(__hash__)
      508    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      497    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
      485    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      477    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      475    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      475    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
      472    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      468    0.000    0.000    0.004    0.000 enum.py:358(__call__)
      467    0.001    0.000    0.001    0.000 contextlib.py:86(__init__)
      467    0.000    0.000    0.001    0.000 contextlib.py:114(__enter__)
      467    0.000    0.000    0.001    0.000 contextlib.py:261(helper)
      466    0.001    0.000    0.001    0.000 contextlib.py:123(__exit__)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      455    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      448    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      448    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      448    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      448    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
  440/244    0.000    0.000    0.000    0.000 typing.py:928(__hash__)
      429    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      429    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      429    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
      428    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      424    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      422    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      420    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      420    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
      420    0.000    0.000    0.002    0.000 element.py:932(__new__)
      401    0.000    0.000    0.001    0.000 typing.py:463(<genexpr>)
      376    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      366    0.001    0.000    0.001    0.000 typing.py:189(_collect_type_vars)
      360    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      360    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      360    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      354    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      352    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      349    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      346    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
    340/3    0.000    0.000    0.298    0.099 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      340    0.000    0.000    0.002    0.000 typing.py:672(__init__)
      340    0.001    0.000    0.005    0.000 typing.py:734(__init__)
      330    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
      327    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
      326    0.000    0.000    0.001    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      320    0.000    0.000    0.136    0.000 re.py:250(compile)
      320    0.002    0.000    0.135    0.000 re.py:289(_compile)
      314    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      313    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
      312    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      310    0.001    0.000    0.005    0.000 _connection.py:356(_extract_next_receive_event)
      310    0.001    0.000    0.008    0.000 _connection.py:382(next_event)
  309/308    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
    291/1    0.004    0.000    1.148    1.148 {built-in method builtins.exec}
      291    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      290    0.000    0.000    0.000    0.000 typing.py:923(__eq__)
      290    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      288    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:156(__enter__)
      288    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
    288/3    0.001    0.000    0.299    0.100 <frozen importlib._bootstrap>:1002(_find_and_load)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      287    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
    287/3    0.001    0.000    0.299    0.100 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      283    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      280    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      280    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      280    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      272    0.000    0.000    0.001    0.000 typing.py:832(<genexpr>)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      264    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  264/262    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    264/3    0.001    0.000    0.299    0.100 <frozen importlib._bootstrap>:659(_load_unlocked)
      261    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      249    0.000    0.000    0.000    0.000 types.py:171(__get__)
      249    0.000    0.000    0.000    0.000 enum.py:792(value)
      241    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
  238/237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      236    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      236    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
      236    0.008    0.000    0.008    0.000 {built-in method io.open_code}
      236    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      236    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      236    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
