         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1163    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      997    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      157    0.001    0.000    0.002    0.000 _connection.py:230(_process_event)
      142    0.001    0.000    0.721    0.005 sync.py:22(read)
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     1487    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      236    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      475    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
    45/14    0.001    0.000    0.016    0.001 css_parser.py:847(parse_selectors)
     6417    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      565    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
       40    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
 1031/993    0.001    0.000    0.012    0.000 typing.py:269(inner)
      449    0.001    0.000    0.001    0.000 contextlib.py:123(__exit__)
      360    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      296    0.001    0.000    0.004    0.000 _connection.py:356(_extract_next_receive_event)
     1234    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      153    0.001    0.000    0.121    0.001 http11.py:155(_receive_response_body)
       15    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        5    0.001    0.000    0.129    0.026 {method 'join' of 'bytes' objects}
    236/3    0.001    0.000    0.296    0.099 <frozen importlib._bootstrap_external>:844(exec_module)
      177    0.001    0.000    0.079    0.000 sre_parse.py:937(parse)
     1200    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       77    0.001    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
      236    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     2080    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       25    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
     1269    0.001    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
       21    0.001    0.000    0.571    0.027 __init__.py:1(<module>)
     2335    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
1613/1111    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      997    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      708    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
